SHAPEFILE NAME,DIRECTORY,ELLIPSOID,PROJECTION,DESCRIPTION,DATA SOURCE,QUESTION
cb_2014_us_county_500k_Poly,../shapefiles/Census,#NAME?,proj=latlong,2014 US Census county boundaries at 5km resolution for onshore locations only,,
cty_pophu2k_revised,../shapefiles/Census,"+a=6370997.0,+b=6370997.0","proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US county boundary GIS data from EPA pophu2k with CO and VA counties revised,,
NTAD_2014_County_Pol,../shapefiles/NTAD,#NAME?,proj=latlong,2014 Bureau of Transportation Stats county boundaries extending to offshore political boundaries,,
ACS_2014_5YR_PopHousing,../shapefiles/Census,#NAME?,proj=latlong,2014 US Census American Community Survey 5-year product with population and housing related features,,
hpms2016,../shapefiles/HPMS,"+datum=WGS84","proj=latlong",,,
TIGER_2014_Rail,../shapefiles/TIGER,#NAME?,proj=latlong,2014 TIGER Line rail,,
NTAD_2014_Rail,../shapefiles/NTAD,#NAME?,proj=latlong,2014 National Transportation Atlas Line rail,,
NTAD_2014_Waterway,../shapefiles/NTAD,"+datum=NAD83",proj=latlong,2014 National Transportation Atlas Line navigable waterways,,
NTAD_2014_ipcd,../shapefiles/NTAD,"+datum=NAD83",proj=latlong,2014 National Transportation Atlas point intermodal passenger database,,
2016_PIL_16Aug,../shapefiles/PIL,#NAME?,proj=latlong,Potential idling locations for heavy duty diesel hoteling emissions,,
POI-Factory_2015_GolfCourses,../shapefiles/POI,#NAME?,proj=latlong,2015 golf course locations from the POI Factory,http://www.poi-factory.com Golf Courses-USA,
EIA_2015_US-Oil,../shapefiles/EIA,#NAME?,proj=latlong,2015/16 oil industry locations from the EIA: Product Terminals+Refineries+LNG Import/Export Terminals+Crude Oil Rail Terminals,,
Ports_2014NEI,../shapefiles/EPA,#NAME?,"proj=eqdc,+lat_1=20,+lat_2=60,+lat_0=40,+lon_0=-96,+x_0=0,+y_0=0",US ports with activity from the NEI2014,,
ShippingLanes_2014NEI,../shapefiles/EPA,#NAME?,"proj=eqdc,+lat_1=20,+lat_2=60,+lat_0=40,+lon_0=-96,+x_0=0,+y_0=0",Offshore shipping lanes with activity from the NEI2014,,
SpudCount_CBM,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
SpudCount_HF,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
SpudCount_Gas,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
SpudCount_Oil,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
SpudCount_All,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Spud_Count_All_20161111,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
GasProduction,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
AssocGasProduction,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
CondensateCBMProd,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
CondensateGasProd,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
Oil_Production,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
OilProduction,../shapefiles/OilGas,#NAME?,"proj=lcc,+lat_1=33,+lat_2=45,+lat_0=40,+lon_0=-97",US Oil and Gas activity for the NEI2014,,
