"FNODE_","TNODE_","LPOLY_","RPOLY_","LENGTH","ROADS_","ROADS_ID","CFCC","UA","NAME","UA_TYPE","URBAN_FLAG","CLASS1_03_","CLASS2_03_","CLASS3_03_","CLASS4_03_","NEWRD_CLAS","FIPSSTCO","STATE","COUNTY","STFID"
"3586799","3586357","2075","2075","209.636000","1793735","1687008","A15","","","","2","0.000000","0.130262","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587126","3587107","2075","2075","43.428900","1793900","1687162","A21","","","","2","0.000000","0.026985","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587181","3587287","2075","2075","108.813000","1793978","1687237","A21","","","","2","0.000000","0.067613","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587369","3586798","2075","2075","304.186000","1794018","1687272","A15","","","","2","0.000000","0.189013","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587605","3587368","2075","2075","79.095100","1794138","52211","A63","","Rural","RA","0","0.000000","0.049147","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587509","3587182","2075","2075","1506.790000","1794200","1687443","A21","","","","2","0.000000","0.936275","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587106","3587755","2075","2075","553.941000","1794211","1687454","A21","","","","2","0.000000","0.344203","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587822","3587604","2075","2075","107.447000","1794247","52212","A63","","Rural","RA","0","0.000000","0.066765","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587286","3587824","2075","2075","324.465000","1794248","1687487","A21","","","","2","0.000000","0.201613","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587825","3587821","2075","2075","22.625400","1794249","52197","A63","","Rural","RA","0","0.000000","0.014059","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587931","3587125","2075","2075","487.378000","1794302","1687539","A21","","","","2","0.000000","0.302843","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587943","3587894","2075","2075","206.427000","1794308","1687545","A21","","","","2","0.000000","0.128268","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587951","3587754","2075","2075","156.703000","1794312","1687549","A21","","","","2","0.000000","0.097371","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587961","3587950","2075","2075","11.555600","1794317","1687553","A21","","","","2","0.000000","0.007180","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587968","3587960","2075","2075","13.694000","1794320","1687556","A21","","","","2","0.000000","0.008509","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3588190","3587930","2075","2075","146.577000","1794427","1687659","A21","","","","2","0.000000","0.091078","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3588204","3587967","2075","2075","310.216000","1794434","1687666","A21","","","","2","0.000000","0.192759","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3588214","3588203","2075","2075","12.311700","1794438","1687670","A21","","","","2","0.000000","0.007650","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3587893","3588286","2075","2075","540.502000","1794473","1687704","A21","","","","2","0.000000","0.335853","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3588285","3588323","2075","2075","81.029800","1794492","1687721","A21","","","","2","0.000000","0.050350","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
"3588427","3588189","2075","2075","136.446000","1794546","1687773","A21","","","","2","0.000000","0.084784","0.000000","0.000000","2","47163","Tennessee","Sullivan","47163.000000"
