"STUSAB","FIPSSTCO","STATE","COUNTY"
"NC","37001","37","001"
"NC","37003","37","003"
"NC","37005","37","005"
"NC","37007","37","007"
"NC","37009","37","009"
"NC","37011","37","011"
"NC","37013","37","013"
"NC","37015","37","015"
"NC","37017","37","017"
"NC","37019","37","019"
"NC","37021","37","021"
"NC","37023","37","023"
"NC","37025","37","025"
"NC","37027","37","027"
"NC","37029","37","029"
"NC","37031","37","031"
"NC","37033","37","033"
"NC","37035","37","035"
"NC","37037","37","037"
"NC","37039","37","039"
"NC","37041","37","041"
"NC","37043","37","043"
"NC","37045","37","045"
"NC","37047","37","047"
"NC","37049","37","049"
"NC","37051","37","051"
"NC","37053","37","053"
"NC","37055","37","055"
"NC","37057","37","057"
"NC","37059","37","059"
"NC","37061","37","061"
"NC","37063","37","063"
"NC","37065","37","065"
"NC","37067","37","067"
"NC","37069","37","069"
"NC","37071","37","071"
"NC","37073","37","073"
"NC","37075","37","075"
"NC","37077","37","077"
"NC","37079","37","079"
"NC","37081","37","081"
"NC","37083","37","083"
"NC","37085","37","085"
"NC","37087","37","087"
"NC","37089","37","089"
"NC","37091","37","091"
"NC","37093","37","093"
"NC","37095","37","095"
"NC","37097","37","097"
"NC","37099","37","099"
"NC","37101","37","101"
"NC","37103","37","103"
"NC","37105","37","105"
"NC","37107","37","107"
"NC","37109","37","109"
"NC","37111","37","111"
"NC","37113","37","113"
"NC","37115","37","115"
"NC","37117","37","117"
"NC","37119","37","119"
"NC","37121","37","121"
"NC","37123","37","123"
"NC","37125","37","125"
"NC","37127","37","127"
"NC","37129","37","129"
"NC","37131","37","131"
"NC","37133","37","133"
"NC","37135","37","135"
"NC","37137","37","137"
"NC","37139","37","139"
"NC","37141","37","141"
"NC","37143","37","143"
"NC","37145","37","145"
"NC","37147","37","147"
"NC","37149","37","149"
"NC","37151","37","151"
"NC","37153","37","153"
"NC","37155","37","155"
"NC","37157","37","157"
"NC","37159","37","159"
"NC","37161","37","161"
"NC","37163","37","163"
"NC","37165","37","165"
"NC","37167","37","167"
"NC","37169","37","169"
"NC","37171","37","171"
"NC","37173","37","173"
"NC","37175","37","175"
"NC","37177","37","177"
"NC","37179","37","179"
"NC","37181","37","181"
"NC","37183","37","183"
"NC","37185","37","185"
"NC","37187","37","187"
"NC","37189","37","189"
"NC","37191","37","191"
"NC","37193","37","193"
"NC","37195","37","195"
"NC","37197","37","197"
"NC","37199","37","199"
"TN","47001","47","001"
"TN","47003","47","003"
"TN","47005","47","005"
"TN","47007","47","007"
"TN","47009","47","009"
"TN","47011","47","011"
"TN","47013","47","013"
"TN","47015","47","015"
"TN","47017","47","017"
"TN","47019","47","019"
"TN","47021","47","021"
"TN","47023","47","023"
"TN","47025","47","025"
"TN","47027","47","027"
"TN","47029","47","029"
"TN","47031","47","031"
"TN","47033","47","033"
"TN","47035","47","035"
"TN","47037","47","037"
"TN","47039","47","039"
"TN","47041","47","041"
"TN","47043","47","043"
"TN","47045","47","045"
"TN","47047","47","047"
"TN","47049","47","049"
"TN","47051","47","051"
"TN","47053","47","053"
"TN","47055","47","055"
"TN","47057","47","057"
"TN","47059","47","059"
"TN","47061","47","061"
"TN","47063","47","063"
"TN","47065","47","065"
"TN","47067","47","067"
"TN","47069","47","069"
"TN","47071","47","071"
"TN","47073","47","073"
"TN","47075","47","075"
"TN","47077","47","077"
"TN","47079","47","079"
"TN","47081","47","081"
"TN","47083","47","083"
"TN","47085","47","085"
"TN","47087","47","087"
"TN","47089","47","089"
"TN","47091","47","091"
"TN","47093","47","093"
"TN","47095","47","095"
"TN","47097","47","097"
"TN","47099","47","099"
"TN","47101","47","101"
"TN","47103","47","103"
"TN","47105","47","105"
"TN","47107","47","107"
"TN","47109","47","109"
"TN","47111","47","111"
"TN","47113","47","113"
"TN","47115","47","115"
"TN","47117","47","117"
"TN","47119","47","119"
"TN","47121","47","121"
"TN","47123","47","123"
"TN","47125","47","125"
"TN","47127","47","127"
"TN","47129","47","129"
"TN","47131","47","131"
"TN","47133","47","133"
"TN","47135","47","135"
"TN","47137","47","137"
"TN","47139","47","139"
"TN","47141","47","141"
"TN","47143","47","143"
"TN","47145","47","145"
"TN","47147","47","147"
"TN","47149","47","149"
"TN","47151","47","151"
"TN","47153","47","153"
"TN","47155","47","155"
"TN","47157","47","157"
"TN","47159","47","159"
"TN","47161","47","161"
"TN","47163","47","163"
"TN","47165","47","165"
"TN","47167","47","167"
"TN","47169","47","169"
"TN","47171","47","171"
"TN","47173","47","173"
"TN","47175","47","175"
"TN","47177","47","177"
"TN","47179","47","179"
"TN","47181","47","181"
"TN","47183","47","183"
"TN","47185","47","185"
"TN","47187","47","187"
"TN","47189","47","189"
