COL,ROW,NUMERSUM
1,1,0.00000000
2,1,0.00000000
3,1,0.00000000
4,1,0.00000000
5,1,0.00000000
6,1,0.00000000
7,1,0.00000000
8,1,0.00000000
9,1,0.00000000
10,1,0.00000000
11,1,0.00000000
12,1,0.00000000
13,1,0.00000000
14,1,0.00000000
15,1,0.00000000
16,1,0.00000000
17,1,0.00000000
18,1,0.00000000
19,1,0.00000000
20,1,0.00000000
21,1,0.00000000
22,1,0.00000000
23,1,0.00000000
24,1,0.00000000
25,1,0.00000000
26,1,0.00000000
27,1,0.00000000
28,1,0.00000000
29,1,0.00000000
30,1,0.00000000
31,1,0.00000000
32,1,0.00000000
33,1,0.00000000
34,1,0.00000000
35,1,0.00000000
36,1,0.00000000
37,1,0.00000000
38,1,0.00000000
39,1,0.00000000
40,1,0.00000000
41,1,0.00000000
42,1,0.00000000
43,1,0.00000000
44,1,0.00000000
45,1,0.00000000
46,1,0.00000000
1,2,0.00000000
2,2,0.00000000
3,2,0.00000000
4,2,0.00000000
5,2,0.00000000
6,2,0.00000000
7,2,0.00000000
8,2,0.00000000
9,2,0.00000000
10,2,0.00000000
11,2,0.00000000
12,2,0.00000000
13,2,0.00000000
14,2,0.00000000
15,2,0.00000000
16,2,0.00000000
17,2,0.00000000
18,2,0.00000000
19,2,0.00000000
20,2,0.00000000
21,2,0.00000000
22,2,0.00000000
23,2,0.00000000
24,2,0.00000000
25,2,0.00000000
26,2,0.00000000
27,2,0.00000000
28,2,0.00000000
29,2,0.00000000
30,2,0.00000000
31,2,0.00000000
32,2,0.00000000
33,2,0.00000000
34,2,0.00000000
35,2,0.00000000
36,2,0.00000000
37,2,0.00000000
38,2,0.00000000
39,2,0.00000000
40,2,0.00000000
41,2,0.00000000
42,2,0.00000000
43,2,0.00000000
44,2,0.00000000
45,2,0.00000000
46,2,0.00000000
1,3,0.00000000
2,3,0.00000000
3,3,0.00000000
4,3,0.00000000
5,3,0.00000000
6,3,0.00000000
7,3,0.00000000
8,3,0.00000000
9,3,0.00000000
10,3,0.00000000
11,3,0.00000000
12,3,0.00000000
13,3,0.00000000
14,3,0.00000000
15,3,0.00000000
16,3,0.00000000
17,3,0.00000000
18,3,0.00000000
19,3,0.00000000
20,3,0.00000000
21,3,0.00000000
22,3,0.00000000
23,3,0.00000000
24,3,0.00000000
25,3,0.00000000
26,3,0.00000000
27,3,0.00000000
28,3,0.00000000
29,3,0.00000000
30,3,0.00000000
31,3,0.00000000
32,3,0.00000000
33,3,0.00000000
34,3,0.00000000
35,3,0.00000000
36,3,0.00000000
37,3,0.00000000
38,3,0.00000000
39,3,0.00000000
40,3,0.00000000
41,3,0.00000000
42,3,0.00000000
43,3,0.00000000
44,3,0.00000000
45,3,0.00000000
46,3,0.00000000
1,4,0.00000000
2,4,0.00000000
3,4,0.00000000
4,4,0.00000000
5,4,0.00000000
6,4,0.00000000
7,4,0.00000000
8,4,0.00000000
9,4,0.00000000
10,4,0.00000000
11,4,0.00000000
12,4,0.00000000
13,4,0.00000000
14,4,0.00000000
15,4,0.00000000
16,4,0.00000000
17,4,0.00000000
18,4,0.00000000
19,4,0.00000000
20,4,0.00000000
21,4,0.00000000
22,4,0.00000000
23,4,0.00000000
24,4,0.00000000
25,4,0.00000000
26,4,0.00000000
27,4,0.00000000
28,4,0.00000000
29,4,0.00000000
30,4,0.00000000
31,4,0.00000000
32,4,0.00000000
33,4,0.00000000
34,4,0.00000000
35,4,0.00000000
36,4,0.00000000
37,4,0.00000000
38,4,0.00000000
39,4,0.00000000
40,4,0.00000000
41,4,0.00000000
42,4,0.00000000
43,4,0.00000000
44,4,0.00000000
45,4,0.00000000
46,4,0.00000000
1,5,0.00000000
2,5,0.00000000
3,5,0.00000000
4,5,0.00000000
5,5,0.00000000
6,5,0.00000000
7,5,0.00000000
8,5,0.00000000
9,5,0.00000000
10,5,0.00000000
11,5,0.00000000
12,5,0.00000000
13,5,0.00000000
14,5,0.00000000
15,5,0.00000000
16,5,0.00000000
17,5,0.00000000
18,5,0.00000000
19,5,0.00000000
20,5,0.00000000
21,5,0.00000000
22,5,0.00000000
23,5,0.00000000
24,5,0.00000000
25,5,0.00000000
26,5,0.00000000
27,5,0.00000000
28,5,0.00000000
29,5,0.00000000
30,5,0.00000000
31,5,0.00000000
32,5,0.00000000
33,5,0.00000000
34,5,0.00000000
35,5,0.00000000
36,5,0.00000000
37,5,0.00000000
38,5,0.00000000
39,5,0.00000000
40,5,0.00000000
41,5,0.00000000
42,5,0.00000000
43,5,0.00000000
44,5,0.00000000
45,5,0.00000000
46,5,0.00000000
1,6,0.00000000
2,6,0.00000000
3,6,0.00000000
4,6,0.00000000
5,6,0.00000000
6,6,0.00000000
7,6,0.00000000
8,6,0.00000000
9,6,0.00000000
10,6,0.00000000
11,6,0.00000000
12,6,0.00000000
13,6,0.00000000
14,6,0.00000000
15,6,0.00000000
16,6,0.00000000
17,6,0.00000000
18,6,0.00000000
19,6,0.00000000
20,6,0.00000000
21,6,0.00000000
22,6,0.00000000
23,6,0.00000000
24,6,0.00000000
25,6,0.00000000
26,6,0.00000000
27,6,0.00000000
28,6,0.00000000
29,6,0.00000000
30,6,0.00000000
31,6,0.00000000
32,6,0.00000000
33,6,0.00000000
34,6,0.00000000
35,6,0.00000000
36,6,0.00000000
37,6,0.00000000
38,6,0.00000000
39,6,0.00000000
40,6,0.00000000
41,6,0.00000000
42,6,0.00000000
43,6,0.00000000
44,6,0.00000000
45,6,0.00000000
46,6,0.00000000
1,7,0.00000000
2,7,0.00000000
3,7,0.00000000
4,7,0.00000000
5,7,0.00000000
6,7,0.00000000
7,7,0.00000000
8,7,0.00000000
9,7,0.00000000
10,7,0.00000000
11,7,0.00000000
12,7,0.00000000
13,7,0.00000000
14,7,0.00000000
15,7,0.00000000
16,7,0.00000000
17,7,0.00000000
18,7,0.00000000
19,7,0.00000000
20,7,0.00000000
21,7,0.00000000
22,7,0.00000000
23,7,0.00000000
24,7,0.00000000
25,7,0.00000000
26,7,0.00000000
27,7,0.00000000
28,7,0.00000000
29,7,0.00000000
30,7,0.00000000
31,7,0.00000000
32,7,0.00000000
33,7,0.00000000
34,7,0.00000000
35,7,0.00000000
36,7,0.00000000
37,7,0.00000000
38,7,0.00000000
39,7,0.00000000
40,7,0.00000000
41,7,0.00000000
42,7,0.00000000
43,7,0.00000000
44,7,0.00000000
45,7,0.00000000
46,7,0.00000000
1,8,11.34377769
2,8,0.00000000
3,8,0.00000000
4,8,0.00000000
5,8,0.00000000
6,8,0.00000000
7,8,0.00000000
8,8,0.00000000
9,8,0.00000000
10,8,0.00000000
11,8,0.00000000
12,8,0.00000000
13,8,0.00000000
14,8,0.00000000
15,8,0.00000000
16,8,0.00000000
17,8,0.00000000
18,8,0.00000000
19,8,0.00000000
20,8,0.00000000
21,8,0.00000000
22,8,0.00000000
23,8,0.00000000
24,8,0.00000000
25,8,0.00000000
26,8,0.00000000
27,8,0.00000000
28,8,0.00000000
29,8,0.00000000
30,8,0.00000000
31,8,0.00000000
32,8,0.00000000
33,8,0.00000000
34,8,0.00000000
35,8,0.00000000
36,8,0.00000000
37,8,0.00000000
38,8,0.00000000
39,8,0.00000000
40,8,0.00000000
41,8,0.00000000
42,8,0.00000000
43,8,0.00000000
44,8,0.00000000
45,8,0.00000000
46,8,0.00000000
1,9,597.55616204
2,9,574.80155029
3,9,947.52902503
4,9,865.02835026
5,9,617.99177247
6,9,341.80641940
7,9,183.45624002
8,9,0.00000000
9,9,0.00000000
10,9,0.00000000
11,9,0.00000000
12,9,0.00000000
13,9,0.00000000
14,9,0.00000000
15,9,0.00000000
16,9,0.00000000
17,9,0.00000000
18,9,0.00000000
19,9,0.00000000
20,9,0.00000000
21,9,0.00000000
22,9,0.00000000
23,9,0.00000000
24,9,0.00000000
25,9,0.00000000
26,9,0.00000000
27,9,0.00000000
28,9,0.00000000
29,9,0.00000000
30,9,0.00000000
31,9,0.00000000
32,9,0.00000000
33,9,0.00000000
34,9,0.00000000
35,9,0.00000000
36,9,0.00000000
37,9,0.00000000
38,9,0.00000000
39,9,0.00000000
40,9,0.00000000
41,9,0.00000000
42,9,0.00000000
43,9,0.00000000
44,9,0.00000000
45,9,0.00000000
46,9,0.00000000
1,10,546.23507573
2,10,1158.40685561
3,10,1811.85945554
4,10,1409.60626929
5,10,1256.19302492
6,10,1396.44155821
7,10,1456.77706605
8,10,683.44322521
9,10,488.70352543
10,10,147.02646872
11,10,181.75113290
12,10,194.23850791
13,10,98.76557917
14,10,5.74310046
15,10,0.00000000
16,10,0.00000000
17,10,0.00000000
18,10,0.00000000
19,10,0.00000000
20,10,0.00000000
21,10,0.00000000
22,10,0.00000000
23,10,0.00000000
24,10,0.00000000
25,10,0.00000000
26,10,0.00000000
27,10,0.00000000
