FIPSSTCO,POP2000,HOUSEHOLDS
47091,1553.000000,627.000000
47091,1123.000000,477.000000
47163,1049.000000,342.000000
47163,2098.000000,876.000000
47091,1236.000000,499.000000
47163,3409.000000,1430.000000
47163,733.000000,298.000000
47163,1918.000000,671.000000
47163,819.000000,363.000000
47163,945.000000,442.000000
47163,957.000000,558.000000
47163,618.000000,284.000000
47163,771.000000,345.000000
47163,1577.000000,713.000000
47163,1136.000000,510.000000
47163,3234.000000,1310.000000
47091,1016.000000,430.000000
47163,1218.000000,485.000000
47163,1544.000000,650.000000
47163,1376.000000,612.000000
47163,668.000000,317.000000
47163,1700.000000,685.000000
47163,1767.000000,645.000000
47163,1274.000000,514.000000
47163,1598.000000,748.000000
47163,779.000000,309.000000
47163,2824.000000,1148.000000
47091,1813.000000,816.000000
47163,1395.000000,617.000000
47091,1690.000000,681.000000
47163,1184.000000,486.000000
47163,1803.000000,542.000000
47163,1273.000000,539.000000
47163,1669.000000,677.000000
47163,985.000000,397.000000
47163,799.000000,324.000000
47163,2573.000000,1095.000000
47163,1512.000000,622.000000
47163,1385.000000,584.000000
47163,606.000000,248.000000
47163,3031.000000,1186.000000
47163,1120.000000,452.000000
47163,3016.000000,1225.000000
47163,1353.000000,594.000000
47163,1027.000000,399.000000
47073,1961.000000,790.000000
47163,1452.000000,624.000000
47019,848.000000,343.000000
47163,868.000000,346.000000
47163,2040.000000,883.000000
47163,672.000000,303.000000
47163,2485.000000,1120.000000
47091,2570.000000,533.000000
47163,953.000000,437.000000
47073,4844.000000,1936.000000
47163,1559.000000,655.000000
47073,1986.000000,786.000000
47091,2059.000000,891.000000
47163,964.000000,422.000000
47163,3560.000000,1455.000000
47163,1161.000000,465.000000
47163,1509.000000,619.000000
47073,5221.000000,2132.000000
47163,888.000000,399.000000
47163,827.000000,380.000000
47163,615.000000,338.000000
47163,700.000000,259.000000
47163,2945.000000,1133.000000
47163,1704.000000,736.000000
47163,1937.000000,752.000000
47163,2276.000000,884.000000
47163,1908.000000,700.000000
47163,953.000000,454.000000
47067,887.000000,361.000000
47163,845.000000,378.000000
47163,465.000000,237.000000
47019,1408.000000,586.000000
47163,1031.000000,412.000000
47163,2150.000000,784.000000
47163,1934.000000,707.000000
47163,113.000000,66.000000
47163,69.000000,52.000000
47163,844.000000,352.000000
47163,1563.000000,694.000000
47163,2105.000000,824.000000
47163,1316.000000,537.000000
47073,1489.000000,598.000000
47163,1223.000000,512.000000
47163,1779.000000,854.000000
47073,2668.000000,1066.000000
47163,1197.000000,632.000000
47163,2683.000000,1351.000000
47163,1196.000000,439.000000
47163,757.000000,411.000000
47091,977.000000,416.000000
47163,1295.000000,510.000000
47163,889.000000,319.000000
47163,1283.000000,562.000000
47163,3600.000000,1565.000000
47163,1383.000000,585.000000
47163,1560.000000,759.000000
47091,1027.000000,427.000000
47163,2344.000000,937.000000
47073,1805.000000,713.000000
47163,888.000000,367.000000
47067,871.000000,352.000000
47163,1819.000000,709.000000
47073,861.000000,348.000000
47073,2639.000000,1140.000000
47163,3654.000000,1564.000000
47163,1510.000000,586.000000
47091,1150.000000,512.000000
47067,865.000000,354.000000
47163,1741.000000,742.000000
47163,1042.000000,412.000000
47163,961.000000,388.000000
47091,1285.000000,518.000000
47073,999.000000,424.000000
47163,1703.000000,655.000000
47163,924.000000,386.000000
47073,1127.000000,451.000000
47163,1294.000000,499.000000
47073,1618.000000,657.000000
47163,1803.000000,734.000000
47163,983.000000,421.000000
47163,2871.000000,1102.000000
47019,1116.000000,473.000000
47073,2875.000000,1182.000000
47019,1779.000000,772.000000
47163,2041.000000,809.000000
47025,709.000000,299.000000
47163,1539.000000,549.000000
47163,1332.000000,555.000000
47067,2298.000000,971.000000
47025,882.000000,314.000000
47163,1542.000000,599.000000
47067,983.000000,390.000000
47073,1039.000000,422.000000
47025,788.000000,329.000000
47025,1090.000000,418.000000
47179,1745.000000,748.000000
47019,3890.000000,1655.000000
47025,752.000000,299.000000
47179,2572.000000,1034.000000
47163,1058.000000,394.000000
47025,1397.000000,455.000000
47019,1822.000000,756.000000
47025,1249.000000,491.000000
47179,2931.000000,1203.000000
47019,1671.000000,671.000000
47025,1228.000000,472.000000
47179,3139.000000,1354.000000
47179,1589.000000,665.000000
47025,1002.000000,374.000000
47025,522.000000,212.000000
47073,1470.000000,585.000000
47179,1611.000000,626.000000
47179,2267.000000,862.000000
47019,1574.000000,653.000000
47067,882.000000,341.000000
47025,1005.000000,385.000000
47179,2229.000000,941.000000
47179,1433.000000,595.000000
47073,1756.000000,734.000000
47025,1474.000000,619.000000
47179,2051.000000,808.000000
47073,715.000000,292.000000
47019,3480.000000,1421.000000
47025,860.000000,361.000000
47013,844.000000,323.000000
47179,2328.000000,862.000000
