STFID,NUMERSUM
470919564003,1516.21491771
470919560001,1123.00000123
471630431002,1049.00000191
471630431001,2098.00000100
470919564004,1236.00000057
471630429001,3409.00000119
471630428021,733.00000052
471630428022,1918.00000084
471630428024,819.00000055
471630428011,945.00000114
471630427011,957.00000042
471630427013,618.00000010
471630427014,771.00000008
471630427015,1577.00000036
471630427012,1136.00000144
471630425001,3234.00000184
470919564002,963.90893583
471630424001,1218.00000091
471630428023,1544.00000077
471630427022,1376.00000138
471630427021,668.00000082
471630428012,1700.00000098
471630430001,1767.00000219
471630424002,1274.00000112
471630426001,1598.00000071
471630420001,779.00000102
471630430002,2824.00000322
470919563002,1813.00000062
471630426002,1395.00000090
470919563003,1690.00000067
471630420002,1184.00000030
471630434001,1803.00000058
471630426003,1273.00000150
471630420003,1669.00000047
471630432007,985.00000077
471630424003,799.00000116
471630419001,2573.00000074
471630421001,1512.00000103
471630434002,1385.00000089
471630418003,606.00000068
471630422001,3031.00000305
471630432005,1120.00000061
471630421002,3016.00000137
471630417001,1353.00000050
471630421003,1027.00000087
470730506001,1961.00000252
471630418002,1452.00000056
470190713003,848.00000081
471630432004,868.00000041
471630417002,2040.00000064
471630419002,672.00000061
471630418001,2485.00000106
470919561001,2570.00000095
471630434003,953.00000080
470730505001,4844.00000219
471630416001,1559.00000167
470730505004,1986.00000189
470919563001,2056.41953127
471630405001,964.00000060
471630423001,3560.00000253
471630434004,1161.00000056
471630405004,1509.00000070
470730506002,5221.00000183
471630406001,888.00000112
471630405002,827.00000075
471630407001,615.00000029
471630432002,700.00000024
471630423002,2945.00000168
471630409001,1704.00000108
471630432003,1937.00000093
471630434006,2276.00000093
471630407002,1908.00000217
471630406002,953.00000025
470679601001,887.00000101
471630405003,845.00000043
471630406003,465.00000051
470190713002,1408.00000090
471630406004,1031.00000076
471630435001,2150.00000167
471630432006,1934.00000143
471630402004,113.00000366
471630402003,69.00000025
471630416002,844.00000053
471630408001,1563.00000082
471630434005,2105.00000135
471630402001,1316.00000047
470730504002,1489.00000137
471630432001,1223.00000108
471630415001,1779.00000036
470730506003,2668.00000252
471630402002,1197.00000016
471630403001,2683.00000025
471630410001,1196.00000113
471630408002,757.00000036
470919562002,954.78461298
471630408003,1295.00000067
471630415002,889.00000049
471630409002,1283.00000068
471630414001,3600.00000144
471630435002,1383.00000133
471630411001,1560.00000048
470919564001,972.49598045
471630410002,2344.00000115
470730505003,1805.00000122
471630411002,888.00000115
470679602002,871.00000042
471630414002,1819.00000176
470730507001,861.00000455
470730505002,2639.00000087
471630412001,3654.00000297
471630433007,1510.00000135
470919562001,1131.93297294
470679603001,864.96362963
471630433001,1741.00000035
471630433003,1042.00000073
471630433002,961.00000126
470919561002,1285.00000078
470730502001,999.00000102
471630413001,1703.00000172
471630433004,924.00000075
470730502002,1127.00000145
471630433006,1294.00000042
470730507002,1618.00000176
471630436001,1803.00000098
471630433005,983.00000133
471630412002,2871.00000075
470190713004,1116.00000056
470730504001,2875.00000122
470190713001,1779.00000088
471630433008,2041.00000278
470259701001,709.00000128
471630436003,1539.00000187
471630436002,1332.00000056
470679602003,2298.00000102
470259701002,882.00000086
471630413002,1542.00000107
470679604002,983.00000065
470730507003,1039.00000204
470259702003,788.00000042
470259701003,1090.00000102
471790614002,1745.00000107
470190712001,3890.00000353
470259702001,752.00000022
471790615001,2572.00000127
471630413003,1058.00000104
470259703001,1397.00000173
470190713005,1822.00000100
470259702002,1249.00000041
471790614001,2931.00000128
470190711001,1671.00000164
470259708001,1228.00000128
471790614003,3139.00000197
471790615002,1589.00000118
470259704001,1002.00000151
470259708002,522.00000083
470730502003,1470.00000147
471790615003,1611.00000097
471790616002,2267.00000153
470190716001,1556.82092929
470679604001,882.00000134
470259703002,1005.00000059
471790612001,2229.00000249
471790616001,1433.00000088
470730503003,1756.00000381
470259708003,1474.00000103
471790613001,2051.00000078
470730504003,715.00000122
470190705001,3480.00000245
470259709001,860.00000078
470139501001,844.00000067
471790616005,2328.00000111
471790613005,1305.00000047
470139501004,739.00000098
471790614004,2308.00000321
470259705001,1290.00000054
470259707004,751.00000191
470590915003,630.00000112
470190705002,712.00000124
470190704001,2239.00000091
471790613002,2285.00000062
471790612002,784.00000210
470139502001,628.00000009
470190701001,1265.00000049
471790613003,703.00000046
471790616006,2813.00000130
470190710001,1539.00000071
470139502003,1241.00000110
470190702001,2531.00000357
470190701002,729.00000051
470139502002,753.00000014
470730503005,1060.00000086
471790616003,1082.00000107
470259703003,1348.00000090
470590915002,892.00000066
470190703003,1444.00000086
470139503001,959.00000066
470190703002,1841.00000098
470190703001,2549.00000123
470139503002,988.00000133
470730502004,1278.00000137
471519750001,1144.00000038
470190714001,2011.00000052
471790613004,627.00000076
470590914002,1597.00000089
471790611003,1018.00000030
471790611002,1048.00000036
471790611001,828.00000072
471790610001,879.00000024
471790604004,1580.00000071
471519750002,717.00000179
470139501002,961.00000125
471790604002,974.00000062
471790617001,2575.00000217
470190706001,2625.00000164
470730508001,1444.00000193
471790610002,740.00000032
