NAME,BERTHS,LAT,LONG
GAINSBORO, TN,0,36.355000,-85.655000
CLINTON, TN,2,36.106667,-84.128333
KNOXVILLE, TN,1,35.990000,-83.876667
KNOXVILLE, TN,8,35.968333,-83.918333
KNOXVILLE, TN,1,35.968333,-83.918333
KNOXVILLE, TN,1,35.968333,-83.918333
KNOXVILLE, TN,4,35.968333,-83.918333
KNOXVILLE, TN,3,35.968333,-83.918333
KNOXVILLE, TN,1,35.968333,-83.918333
KNOXVILLE, TN,1,35.951667,-83.933333
KNOXVILLE, TN,1,35.946667,-83.898333
KNOXVILLE, TN,1,35.946667,-83.898333
HARRIMAN, TN,1,35.936667,-84.550000
HARRIMAN, TN,1,35.936667,-84.550000
HARRIMAN, TN,1,35.936667,-84.550000
ROCKWOOD, TN,1,35.865000,-84.685000
SPRING CITY, TN,1,35.693333,-84.858333
WATTS BAR DAM, TN,9,35.615000,-84.755000
CALHOUN, TN,3,35.291667,-84.750000
CALHOUN, TN,3,35.291667,-84.750000
CHARLESTON, TN,4,35.290000,-84.756667
CHARLESTON, TN,4,35.290000,-84.756667
SODDY-DAISY, TN,1,35.255000,-85.180000
CHATTANOOGA, TN,1,35.111667,-85.143333
CHATTANOOGA, TN,3,35.071667,-85.261667
CHATTANOOGA, TN,6,35.071667,-85.261667
CHATTANOOGA, TN,2,35.065000,-85.331667
CHATTANOOGA, TN,3,35.065000,-85.331667
CHATTANOOGA, TN,5,35.065000,-85.331667
CHATTANOOGA, TN,6,35.065000,-85.331667
CHATTANOOGA, TN,1,35.065000,-85.331667
CHATTANOOGA, TN,2,35.046667,-85.311667
CHATTANOOGA, TN,1,35.046667,-85.311667
CHATTANOOGA, TN,0,35.046667,-85.311667
CHATTANOOGA, TN,1,35.046667,-85.311667
CHATTANOOGA, TN,3,35.046667,-85.311667
CHATTANOOGA, TN,2,35.046667,-85.311667
CHATTANOOGA, TN,1,35.046667,-85.315000
CHATTANOOGA, TN,1,35.046667,-85.315000
CHATTANOOGA, TN,4,35.046667,-85.315000
CHATTANOOGA, TN,2,35.046667,-85.315000
JASPER, TN,4,35.075000,-85.626667
BENNETT LAKE, TN,7,35.075000,-85.626667
GUILD, TN,0,35.041667,-85.531667
SOUTH PITTSBURG, TN,3,35.013333,-85.706667
