REGION,SURROGATE,SURROGATE CODE,DATA SHAPEFILE,DATA ATTRIBUTE,WEIGHT SHAPEFILE,WEIGHT ATTRIBUTE,WEIGHT FUNCTION,FILTER FUNCTION,MERGE FUNCTION,SECONDARY SURROGATE,TERTIARY SURROGATE,QUARTERNARY SURROGATE,DETAILS
USA,Population,100,county_pophu02,FIPSSTCO,pophu2k_tnnc,POP2000,,,,,,,Total population from Census 2000 blocks
USA,Housing,110,county_pophu02,FIPSSTCO,pophu2k_tnnc,HSE_UNITS,,,,,,,Total Housing Units from Census 2000
USA,Urban Population,120,county_pophu02,FIPSSTCO,pophu2k_tnnc,URBAN,,,,Population,,,Total urban population from Census 2000
USA,Rural Population,130,county_pophu02,FIPSSTCO,pophu2k_tnnc,RURAL,,,,Population,,,Total rural population from Census 2000
USA,Housing Change,137,county_pophu02,FIPSSTCO,pophu_0090,HUCH0090,,,,,,,"Housing change from 1990 to 2000 census blocks.  If housing change from 2000 to 1990 is less than 0, it is set to 0. Used for surrogate merging."
USA,Housing Change and Population,140,county_pophu02,FIPSSTCO,,,,,0.5*Housing Change+0.5*Population,Population,,,Combination of the change in housing between 1990 and 2000 and year 2000 population
USA,Residential Heating - Natural Gas,150,county_pophu02,FIPSSTCO,us_heat,UTIL_GAS,,,,Housing,,,Number of Housing Units using Utility Gas for primary heating
USA,Residential Heating - Wood,160,county_pophu02,FIPSSTCO,us_heat,WOOD,,,,Housing,,,Number of Housing Units using Wood for primary heating
USA,Residential Heating - Distillate Oil,170,county_pophu02,FIPSSTCO,us_heat,FUEL_OIL,,,,Housing,,,Number of Housing Units using Fuel Oil for primary heating
USA,Residential Heating - Coal,180,county_pophu02,FIPSSTCO,us_heat,COAL,,,,Housing,,,Number of Housing Units using Coal for primary heating
USA,Residential Heating - LP Gas,190,county_pophu02,FIPSSTCO,us_heat,LP_GAS,,,,Housing,,,Number of Housing Units using Bottled Gas for primary heating
USA,Urban Primary Road Miles,200,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,NEWRD_CLAS = 1,,Total Road Miles,Population,,Road Miles of Urban Primary Roads
USA,Rural Primary Road Miles,210,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,NEWRD_CLAS = 2,,Total Road Miles,Population,,Road Miles of Rural Primary Roads
USA,Urban Secondary Road Miles,220,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,NEWRD_CLAS = 3,,Total Road Miles,Population,,Road Miles of Urban Secondary Roads
USA,Rural Secondary Road Miles,230,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,NEWRD_CLAS = 4,,Total Road Miles,Population,,Road Miles of Rural Secondary Roads
USA,Total Road Miles,240,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,,,Population,,,"Sum of rural primary, urban primary, rural secondary and urban secondary road miles.  "
USA,Urban Primary plus Rural Primary,250,county_pophu02,FIPSSTCO,tnnc_usrds_2000,NONE,,"NEWRD_CLAS=1,2",,Total Road Miles,Population,,Sum of rural primary and urban primary road miles
USA,0.75 Total Roadway Miles plus 0.25 Population,255,county_pophu02,FIPSSTCO,,,,,0.75*Total Road Miles+0.25*Population,Population,,,Combination of 3/4 total road miles surrogate ratio and 1/4 population surrogate ratio
USA,Total Railroad Miles,260,county_pophu02,FIPSSTCO,us_rail2k,NONE,,"RR_CLASS=U,1,2,3",,Total Road Miles,Population,,"Sum of Railroad Miles of Class 1 railroads, Classes 2 and 3 railroads, and unknown classified railroads"
